DS,GN,GN Number,Both sexes,Male,Female
Seethawaka,Thunnana West,444B,"1,713",838,875
Seethawaka,Mawathagama West,444C,"1,976",923,"1,053"
Seethawaka,Mawathagama East,444A,914,445,469
Padukka,Pinnawala North,456,845,403,442
Padukka,Pinnawala South,456A,"1,518",737,781
Padukka,Waga North,457B,857,434,423
Padukka,Waga East,457,"1,789",882,907
Padukka,Thummodara,458A,794,389,405
Padukka,Waga South,457C,970,467,503
Padukka,Siyambalawa,459B,"1,891",927,964
Padukka,Pahala Bope,459A,"1,074",500,574
Padukka,Halpe,454B,727,345,382
Padukka,Waga West,457A,"1,339",642,697
Padukka,Uggalla,454,"1,878",919,959
Padukka,Wewelpanawa,453A,707,335,372
Padukka,Pitumpe North,453,"1,438",698,740
Padukka,Pitumpe South,453B,"1,332",632,700
Padukka,Galagedara East,452,"2,790","1,420","1,370"
Padukka,Galagedara North,452A,"2,391","1,194","1,197"
Padukka,Galagedara South,452B,"1,247",614,633
Padukka,Padukka,461,"2,939","1,451","1,488"
Padukka,Arukwatta North,460,"1,520",724,796
Padukka,Arukwatta South,460A,"2,168","1,078","1,090"
Padukka,Ganegoda,460B,"1,157",545,612
Padukka,Angampitiya,454A,"2,157","1,049","1,108"
Padukka,Weragala,455,"1,814",886,928
Padukka,Angamuwa,461A,"1,593",803,790
Padukka,Udumulla,461B,"2,340","1,133","1,207"
Padukka,Poregedara,462A,"1,071",520,551
Padukka,Pahala Padukka,461C,"1,329",632,697
Padukka,Liyanwala,462,"1,175",570,605
Padukka,Kurugala,465,"1,469",725,744
Padukka,Madulawa South,463A,983,495,488
Padukka,Madulawa North,463,"1,361",671,690
Padukka,Horakandawala,464C,"2,059","1,018","1,041"
Padukka,Dampe,464A,"1,498",726,772
Padukka,Beruketiya,464D,"1,901",940,961
Padukka,Horagala West,464B,"1,284",626,658
Padukka,Horagala East,464,"1,763",891,872
Padukka,Beliattavila,461D,753,385,368
Padukka,Miriyagalla,466,"1,367",659,708
Padukka,Malagala,467,"1,755",808,947
Padukka,Kahawala,467A,932,446,486
Padukka,Yatawathura,468,764,347,417
Padukka,Mahingala,455A,621,307,314
Padukka,Ihala Bope,459,"1,412",690,722
Padukka,Gurulana,458B,917,462,455
Padukka,Udagama,458,765,366,399
Padukka,Dambora,458C,813,398,415
Maharagama,Mirihana South,523A,"6,043","2,971","3,072"
Maharagama,Mirihana North,523,"6,222","2,953","3,269"
Maharagama,Madiwela,524,"6,244","3,028","3,216"
Maharagama,Thalawathugoda West,493A,"5,492","2,759","2,733"
Maharagama,Thalawathugoda East,493B,"6,217","2,954","3,263"
Maharagama,Kalalgoda,493,"4,956","2,383","2,573"
Maharagama,Kottawa East,496A,"5,632","2,673","2,959"
Maharagama,Rukmale West,497,"4,471","2,185","2,286"
Maharagama,Rukmale East A,497A,"1,259",608,651
Maharagama,Rukmale East B,497B,"2,697","1,265","1,432"
Maharagama,Liyanagoda,496E,"4,342","2,081","2,261"
Maharagama,Kottawa North,496C,"2,466","1,186","1,280"
Maharagama,Depanama,529A,"7,647","3,700","3,947"
Maharagama,Polwatta,529,"3,513","1,667","1,846"
Maharagama,Pamunuwa,528,"4,543","2,294","2,249"
Maharagama,Thalapathpitiya,525,"7,086","3,249","3,837"
Maharagama,Pragathipura,524A,"5,838","2,867","2,971"
Maharagama,Udahamulla East,525A,"6,309","3,132","3,177"
Maharagama,Udahamulla West,525B,"4,780","2,309","2,471"
Maharagama,Pathiragoda,527A,"6,546","3,167","3,379"
Maharagama,Maharagama East,527B,"3,695","1,704","1,991"
Maharagama,Maharagama West,527C,"2,464","1,242","1,222"
Maharagama,Dambahena,528A,"5,233","2,485","2,748"
Maharagama,Pannipitiya North,531,"4,060","1,943","2,117"
Maharagama,Kottawa West,496D,"2,766","1,345","1,421"
Maharagama,Kottawa South,496,"7,159","3,450","3,709"
Maharagama,Malapalla West,498B,"2,692","1,304","1,388"
Maharagama,Malapalla East,498,"3,648","1,790","1,858"
Maharagama,Makumbura North,498A,"3,458","1,680","1,778"
Maharagama,Makumbura South,498C,"1,596",768,828
Maharagama,Kottawa Town,496B,"5,496","2,796","2,700"
Maharagama,Pannipitiya South,531A,"2,255","1,056","1,199"
Maharagama,Maharagama Town,530,"5,453","2,675","2,778"
Maharagama,Godigamuwa South,532A,"5,194","2,477","2,717"
Maharagama,Godigamuwa South B,532B,"7,328","3,470","3,858"
Maharagama,Godigamuwa North,532,"4,094","1,864","2,230"
Maharagama,Wattegedara,532C,"7,734","3,631","4,103"
Maharagama,Navinna,527,"4,901","2,316","2,585"
Maharagama,Wijerama,526C,"3,675","1,967","1,708"
Maharagama,Gangodavila South B,526B,"7,391","2,908","4,483"
Maharagama,Jambugasmulla,526D,"3,828","1,815","2,013"
Sri Jayawardanapura Kotte,Obsekarapura,514C,"11,963","5,925","6,038"
Sri Jayawardanapura Kotte,Welikada West,514A,"7,004","3,195","3,809"
Sri Jayawardanapura Kotte,Welikada East,514,"6,749","3,183","3,566"
Sri Jayawardanapura Kotte,Rajagiriya,514B,"3,591","1,878","1,713"
Sri Jayawardanapura Kotte,Welikada North,514D,"4,834","2,389","2,445"
Sri Jayawardanapura Kotte,Nawala West,520,"4,059","2,032","2,027"
Sri Jayawardanapura Kotte,Koswatta,520A,"5,707","2,767","2,940"
Sri Jayawardanapura Kotte,Ethulkotte West,521A,"3,371","1,664","1,707"
Sri Jayawardanapura Kotte,Ethulkotte,521,"5,929","2,877","3,052"
Sri Jayawardanapura Kotte,Pitakotte East,522A,"3,984","1,912","2,072"
Sri Jayawardanapura Kotte,Pitakotte,522B,"3,634","1,753","1,881"
Sri Jayawardanapura Kotte,Pitakotte West,522,"5,301","2,439","2,862"
Sri Jayawardanapura Kotte,Nawala East,520B,"5,473","2,573","2,900"
Sri Jayawardanapura Kotte,Nugegoda West,519B,"5,627","2,635","2,992"
Sri Jayawardanapura Kotte,Pagoda,519A,"5,446","2,537","2,909"
Sri Jayawardanapura Kotte,Nugegoda,519,"3,365","1,678","1,687"
Sri Jayawardanapura Kotte,Pagoda East,519C,"5,944","2,902","3,042"
Sri Jayawardanapura Kotte,Gangodavila North,526,"5,352","2,493","2,859"
Sri Jayawardanapura Kotte,Gangodavila South,526A,"7,305","3,554","3,751"
Sri Jayawardanapura Kotte,Gangodavila East,526C,"3,287","1,606","1,681"
Thimbirigasyaya,Kollupitiya,,"6,711","3,549","3,162"
Thimbirigasyaya,Bambalapitiya,,"7,564","3,621","3,943"
Thimbirigasyaya,Kurunduwatta,,"9,914","4,703","5,211"
Thimbirigasyaya,Kuppiyawatta West,,"6,954","3,468","3,486"
Thimbirigasyaya,Kuppiyawatta East,,"10,577","5,498","5,079"
Thimbirigasyaya,Dematagoda,,"18,602","9,356","9,246"
Thimbirigasyaya,Wanathamulla,,"17,355","8,547","8,808"
Thimbirigasyaya,Borella North,,"21,326","13,617","7,709"
Thimbirigasyaya,Borella South,,"5,127","2,566","2,561"
Thimbirigasyaya,Gothamipura,,"6,498","3,213","3,285"
Thimbirigasyaya,Narahenpita,,"11,194","5,503","5,691"
Thimbirigasyaya,Thimbirigasyaya,,"12,675","5,949","6,726"
Thimbirigasyaya,Milagiriya,,"7,389","3,214","4,175"
Thimbirigasyaya,Havelock Town,,"7,455","3,464","3,991"
Thimbirigasyaya,Kirula,,"20,237","9,576","10,661"
Thimbirigasyaya,Kirulapone,,"17,846","8,818","9,028"
Thimbirigasyaya,Wellawatta North,,"14,967","7,131","7,836"
Thimbirigasyaya,Wellawatta South,,"10,826","5,059","5,767"
Thimbirigasyaya,Pamankada West,,"12,451","5,658","6,793"
Thimbirigasyaya,Pamankada East,,"12,389","6,150","6,239"
Dehiwala,Sri Saranankara,538C,"6,367","3,111","3,256"
Dehiwala,Vilawala,537,"6,334","3,095","3,239"
Dehiwala,Dutugemunu,537A,"4,806","2,388","2,418"
Dehiwala,Kohuwala,537B,"5,475","2,567","2,908"
Dehiwala,Kalubovila,538,"5,517","2,674","2,843"
Dehiwala,Hathbodhiya,538B,"6,228","3,049","3,179"
Dehiwala,Galwala,538A,"5,671","2,814","2,857"
Dehiwala,Dehiwala West,540A,"5,184","2,499","2,685"
Dehiwala,Dehiwala East,540,"6,767","3,262","3,505"
Dehiwala,Udyanaya,536A,"5,914","2,891","3,023"
Dehiwala,Nedimala,536,"9,058","4,356","4,702"
Dehiwala,Malwatta,539/42A,"3,543","1,714","1,829"
Dehiwala,Jayathilaka,540B,"4,374","2,108","2,266"
Dehiwala,Karagampitiya,539/42,"5,633","2,826","2,807"
Dehiwala,Kawdana East,539/42B,"8,091","3,847","4,244"
Ratmalana,Mount Lavinia,541,"8,373","4,255","4,118"
Ratmalana,Kawdana West,539/42C,"6,624","3,199","3,425"
Ratmalana,Watarappala,544,"6,311","3,116","3,195"
Ratmalana,Wathumulla,544A,"4,608","2,210","2,398"
Ratmalana,Katukurunduwatta,545A,"12,166","5,944","6,222"
Ratmalana,Attidiya North,543,"8,854","4,284","4,570"
Ratmalana,Attidiya South,543B,"7,683","3,686","3,997"
Ratmalana,Piriwena,545,"5,018","2,380","2,638"
Ratmalana,Wedikanda,546A,"7,585","3,635","3,950"
Ratmalana,Vihara,546B,"6,443","3,097","3,346"
Ratmalana,Rathmalana West,546,"5,736","2,847","2,889"
Ratmalana,Rathmalana East,546C,"6,564","3,408","3,156"
Ratmalana,Kandawala,543A,"9,541","4,725","4,816"
Moratuwa,Angulana North,547,"4,201","2,107","2,094"
Moratuwa,Kaldemulla,548,"4,805","2,299","2,506"
Moratuwa,Soysapura North,548A,"2,898","1,339","1,559"
Moratuwa,Soysapura South,548B,"2,711","1,305","1,406"
Moratuwa,Dahampura,548C,"2,748","1,288","1,460"
Moratuwa,Thelawala North,549B,"5,385","2,696","2,689"
Moratuwa,Borupana,549A,"5,918","2,913","3,005"
Moratuwa,Thelawala South,549,"3,916","1,826","2,090"
Moratuwa,Lakshapathiya North,550A,"4,481","2,168","2,313"
Moratuwa,Lakshapathiya Central,550B,"3,049","1,508","1,541"
Moratuwa,Angulana South,547A,"3,333","1,681","1,652"
Moratuwa,Uyana South,552A,"4,464","2,186","2,278"
Moratuwa,Uyana North,552B,"3,783","1,862","1,921"
Moratuwa,Rawathawatta South,557B,"2,144",973,"1,171"
Moratuwa,Rawathawatta East,557,"4,033","1,941","2,092"
Moratuwa,Lakshapathiya South,550,"5,380","2,564","2,816"
Moratuwa,Kuduwamulla,551B,"3,194","1,618","1,576"
Moratuwa,Katubedda,551,"10,596","5,500","5,096"
Moratuwa,Molpe,551A,"7,487","3,956","3,531"
Moratuwa,Moratumulla North,551C,"3,255","1,590","1,665"
Moratuwa,Kadalana,558A,"3,544","1,711","1,833"
Moratuwa,Rawathawatta West,557A,"3,375","1,554","1,821"
Moratuwa,Idama,552,"2,826","1,277","1,549"
Moratuwa,Uswatta,553C,"2,174","1,019","1,155"
Moratuwa,Moratuwella South,553,"4,524","2,111","2,413"
Moratuwa,Indibedda West,559,"4,437","2,209","2,228"
Moratuwa,Moratumulla East,558,"3,854","1,899","1,955"
Moratuwa,Moratumulla West,558B,"3,630","1,759","1,871"
Moratuwa,Villorawatta East,560/61,"3,678","1,767","1,911"
Moratuwa,Villorawatta West,560/61A,"4,689","2,303","2,386"
Moratuwa,Indibedda East,559A,"3,592","1,779","1,813"
Moratuwa,Moratuwella North,553A,"2,236","1,091","1,145"
Moratuwa,Moratuwella West,553B,"2,394","1,211","1,183"
Moratuwa,Koralawella North,554,"5,696","2,785","2,911"
Moratuwa,Koralawella East,554B,"2,192","1,046","1,146"
Moratuwa,Koralawella West,554C,"3,531","1,719","1,812"
Moratuwa,Koralawella South,554A,"3,582","1,735","1,847"
Moratuwa,Katukurunda North,555,"3,551","1,722","1,829"
Moratuwa,Katukurunda South,555A,"4,399","2,128","2,271"
Moratuwa,Egoda Uyana North,556,"4,603","2,229","2,374"
Moratuwa,Egoda Uyana Central,556A,"2,869","1,418","1,451"
Moratuwa,Egoda Uyana South,556B,"5,123","2,531","2,592"
Kesbewa,Pepiliyana West,535,"5,039","2,423","2,616"
Kesbewa,Pepiliyana East,535C,"1,765",850,915
Kesbewa,Divulpitiya East,535D,"2,328","1,192","1,136"
Kesbewa,Divulpitiya West,535B,"2,631","1,339","1,292"
Kesbewa,Bellanvila,535A,"3,413","1,689","1,724"
Kesbewa,Boralesgamuwa West A,533B,"4,466","2,058","2,408"
Kesbewa,Boralesgamuwa West C,533F,"1,485",739,746
Kesbewa,Rattanapitiya,533A,"4,768","2,201","2,567"
Kesbewa,Egodawatta,533C,"3,310","1,462","1,848"
Kesbewa,Boralesgamuwa East A,533,"4,842","2,372","2,470"
Kesbewa,Boralesgamuwa West B,533E,"2,822","1,373","1,449"
Kesbewa,Werahera North,577,"1,977",983,994
Kesbewa,Boralesgamuwa East B,533D,"5,204","2,508","2,696"
Kesbewa,Neelammahara,579,"3,358","1,649","1,709"
Kesbewa,Katuwawala North,578,"3,697","1,803","1,894"
Kesbewa,Vishwakalawa,574B,"2,045",967,"1,078"
Kesbewa,Werahera South,577A,"5,213","2,547","2,666"
Kesbewa,Katuwawala South,578A,"1,489",707,782
Kesbewa,Niwanthidiya,580A,"3,435","1,648","1,787"
Kesbewa,Erewwala West,581A,"6,544","3,135","3,409"
Kesbewa,Erewwala North,581D,"4,373","2,138","2,235"
Kesbewa,Erewwala East,581,"2,542","1,284","1,258"
Kesbewa,Rathmaldeniya,581C,"5,440","2,581","2,859"
Kesbewa,Mahalwarawa,581E,"2,773","1,315","1,458"
Kesbewa,Bangalawatta,581B,"2,194","1,001","1,193"
Kesbewa,Pelenwatta East,582B,"4,032","1,975","2,057"
Kesbewa,Pelenwatta North,582,"4,703","2,276","2,427"
Kesbewa,Pelenwatta West,582A,"5,503","2,682","2,821"
Kesbewa,Paligedara,583A,"3,050","1,443","1,607"
Kesbewa,Kaliyammahara,580,"3,042","1,493","1,549"
Kesbewa,Bokundara,575,"3,633","1,773","1,860"
Kesbewa,Thumbovila South,576B,"3,303","1,654","1,649"
Kesbewa,Thumbovila North,576A,"4,037","1,962","2,075"
Kesbewa,Wewala West,562B,"4,949","2,425","2,524"
Kesbewa,Wewala East,562,"2,655","1,276","1,379"
Kesbewa,Thumbovila West,576,"2,697","1,292","1,405"
Kesbewa,Mampe North,574A,"4,690","2,301","2,389"
Kesbewa,Makuludoowa,583,"3,257","1,556","1,701"
Kesbewa,Gorakapitiya,584,"1,749",827,922
Kesbewa,Nampamunuwa,584A,"3,385","1,643","1,742"
Kesbewa,Mavittara North,586A,"2,761","1,338","1,423"
Kesbewa,Mampe East,574D,"2,040",984,"1,056"
Kesbewa,Bodhirajapura,577B,"2,303","1,155","1,148"
Kesbewa,Mampe West,574,"3,055","1,506","1,549"
Kesbewa,Mampe South,574C,"2,070",985,"1,085"
Kesbewa,Kolamunna,563/73A,"3,633","1,723","1,910"
Kesbewa,Suwarapola East,562A,"2,779","1,298","1,481"
Kesbewa,Suwarapola West,562C,"1,387",679,708
Kesbewa,Hedigama,563/73,"4,294","2,104","2,190"
Kesbewa,Batakettara North,565,"5,847","2,853","2,994"
Kesbewa,Kesbewa North,572,"4,279","2,014","2,265"
Kesbewa,Kesbewa East,572B,"2,019",980,"1,039"
Kesbewa,Mavittara South,586,"1,880",902,978
Kesbewa,Honnanthara North,585,"3,522","1,716","1,806"
Kesbewa,Honnanthara South,585A,"3,939","1,853","2,086"
Kesbewa,Makandana East,569,"4,947","2,419","2,528"
Kesbewa,Kesbewa South,572A,"6,316","3,130","3,186"
Kesbewa,Batakettara South,565A,"6,628","3,320","3,308"
Kesbewa,Madapatha,567,"3,799","1,888","1,911"
Kesbewa,Delthara West,564,"2,084","1,039","1,045"
Kesbewa,Delthara East,564A,"1,524",754,770
Kesbewa,Dampe,566,"4,165","2,047","2,118"
Kesbewa,Makandana West,569A,"4,434","2,150","2,284"
Kesbewa,Nivungama,568A,"2,196","1,078","1,118"
Kesbewa,Halpita,570/571,"5,487","2,659","2,828"
Kesbewa,Horathuduwa,570/71A,"1,604",754,850
Kesbewa,Morenda,568,"1,300",629,671
Kesbewa,Batuwandara North,596,"1,545",717,828
Kesbewa,Batuwandara South,596A,"1,481",734,747
Kesbewa,Jamburaliya,597,"3,184","1,602","1,582"
Kesbewa,Polhena,598B,"2,339","1,117","1,222"
Kesbewa,Regidel Watta,598A,"1,270",638,632
Kesbewa,Kahapola,598,"3,283","1,615","1,668"
